feature,value,shap,abs_shap
Churn Value,1,19.5241318460111,19.5241318460111
Churn Reason_missing,False,0.07400570668692265,0.07400570668692265
Zip Code,96141,-3.068326842603497e-13,3.068326842603497e-13
Latitude,39.117018,-4.7663695906807746e-14,4.7663695906807746e-14
Monthly Charges,109.8,-7.011752289898254e-15,7.011752289898254e-15
CLTV,3410,-6.845218836204481e-15,6.845218836204481e-15
Longitude,-120.212535,3.775625645463521e-15,3.775625645463521e-15
Churn Score,78,3.606490106555782e-15,3.606490106555782e-15
Tenure Months,34,-3.565182003784084e-15,3.565182003784084e-15
Streaming Movies_Yes,True,4.163336342344337e-17,4.163336342344337e-17
